iso,imageregion,coacchregion,no_slr_a_q_0_025,no_slr_a_q_0_05,no_slr_a_q_0_16,no_slr_a_q_0_25,no_slr_a_q_0_33,no_slr_a_q_0_5,no_slr_a_q_0_67,no_slr_a_q_0_75,no_slr_a_q_0_84,no_slr_a_q_0_95,no_slr_a_q_0_975,no_slr_b1,no_slr_b2
AGO,RSAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
BEN,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
BWA,RSAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
BFA,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
BDI,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
CMR,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
CPV,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
CAF,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
TCD,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
COM,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
COG,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
COD,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
CIV,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
DJI,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
ERI,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
ETH,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
GAB,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
GMB,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
GHA,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
GIN,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
GNB,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
KEN,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
LSO,RSAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
LBR,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
MDG,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
MWI,RSAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
MLI,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
MRT,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
MUS,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
MOZ,RSAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
NAM,RSAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
NER,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
NGA,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
REU,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
RWA,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
SEN,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
SLE,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
SOM,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
ZAF,SAF,I_RSAF,0.4965,0.54653,0.68379,0.78774,0.85564,1,1.14013,1.19986,1.30364,1.66915,1.83007,0.35895,1.4799
SDN,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
SSD,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
TZA,RSAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
TGO,WAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
UGA,EAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
ZMB,RSAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
ZWE,RSAF,I_SSA,0.46934,0.53237,0.72094,0.80863,0.87591,1,1.10226,1.17251,1.26236,1.39739,1.45479,2.30932,1.61944
KHM,SEAS,I_SEAS,-0.53761,-0.25306,0.39027,0.50011,0.65053,1,1.249,1.38746,1.69613,1.96406,2.09689,2.17792,0.92635
CHN,CHN,I_CHN,-0.73092,-0.41766,0.37637,0.6015,0.77381,1,1.28404,1.44736,1.5686,1.77462,1.8997,1.37938,-0.07077
HKG,CHN,I_CHN,-0.73092,-0.41766,0.37637,0.6015,0.77381,1,1.28404,1.44736,1.5686,1.77462,1.8997,1.37938,-0.07077
PRK,KOR,I_EastAsia,0.34082,0.44427,0.64532,0.7423,0.84261,1,1.20854,1.30494,1.54711,1.82666,1.89786,0.98408,0.60159
LAO,SEAS,I_SEAS,-0.53761,-0.25306,0.39027,0.50011,0.65053,1,1.249,1.38746,1.69613,1.96406,2.09689,2.17792,0.92635
MNG,CHN,I_CHN,-0.73092,-0.41766,0.37637,0.6015,0.77381,1,1.28404,1.44736,1.5686,1.77462,1.8997,1.37938,-0.07077
TWN,CHN,I_CHN,-0.73092,-0.41766,0.37637,0.6015,0.77381,1,1.28404,1.44736,1.5686,1.77462,1.8997,1.37938,-0.07077
VNM,SEAS,I_SEAS,-0.53761,-0.25306,0.39027,0.50011,0.65053,1,1.249,1.38746,1.69613,1.96406,2.09689,2.17792,0.92635
ALB,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
BIH,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
BGR,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
HRV,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
CZE,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
EST,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
HUN,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
LVA,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
LTU,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
MKD,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
MNE,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
POL,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
SRB,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
SVK,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
SVN,CEU,I_CEU,0.13447,0.26594,0.5345,0.7037,0.80049,1,1.24027,1.38028,1.56034,2.19977,2.3884,0.33022,0.62763
ARM,RUS,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
AZE,RUS,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
BLR,UKR,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
GEO,RUS,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
KAZ,STAN,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
KGZ,STAN,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
MDA,UKR,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
RUS,RUS,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
TJK,STAN,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
TKM,STAN,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
UKR,UKR,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
UZB,STAN,I_FSU,0.05221,0.1063,0.36509,0.56734,0.67856,1,1.31151,1.54471,1.73994,2.17436,2.2929,0.79225,0.25203
ATG,RCAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
ARG,RSAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
BHS,RCAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
BRB,RCAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
BLZ,RCAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
BMU,RCAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
BOL,RSAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
BRA,BRA,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
CHL,RSAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
COL,RSAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
CRI,RCAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
CUB,RCAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
DOM,RCAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
ECU,RSAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
SLV,RCAM,I_Laca,-2.65002,-2.17407,-0.1729,0.21881,0.51141,1,1.21305,1.38975,1.80677,2.15031,2.26222,0.69609,0.63903
